,June 2020,December 2021,August 2022,July 2023,August 2024,August 2025,August 2026
Straight,3006,9329,8442,8651,9011,10322,15018
Bi/Pan,866,4442,4037,3722,4430,5508,7530
Gay/Lesbian,292,944,940,844,1218,1430,2109
Asexual,110,579,621,601,742,896,1314
Questioning/Other,334,854,857,600,705,686,1045
