,August 2022,July 2023,August 2024,August 2025,August 2026
Americas,11405,11301,12634,13974,20126
Australia,363,251,257,409,457
Europe,1487,1977,2253,2270,3687
Asia,379,242,297,305,469
Africa,150,81,124,167,218
